Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio,Localizacion
VOLKSWAGEN - TRANSPORTER KOMBI PRO CORTO TM 2. 0 TDI BMT 114CV,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-transporter-kombi-pro-corto-tm-2-0-tdi-bmt-114cv-294934872.htm,14.793€,año 2015,169.000 kms,diesel,114 cv,4 puertas,manual,la_coruna
RENAULT - SCENIC SELECTION DCI 95 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-scenic-selection-dci-95-eco2-293630966.htm,7.900€,año 2014,129.000 kms,diesel,95 cv,5 puertas,manual,la_coruna
OPEL - INSIGNIA 1. 6CDTI STARTSTOP ECOFLEX 136 SELECTIVE,www.milanuncios.com/opel-de-segunda-mano/opel-insignia-1-6cdti-startstop-ecoflex-136-selective-296432511.htm,11.500€,año 2016,139.000 kms,diesel,136 cv,5 puertas,manual,la_coruna
SEAT - LEON 1. 6 TDI 105CV STSP STYLE,www.milanuncios.com/seat-de-segunda-mano/seat-leon-1-6-tdi-105cv-stsp-style-295036714.htm,8.500€,año 2014,119.000 kms,diesel,105 cv,5 puertas,manual,la_coruna
CITROEN - C4 CACTUS PURETECH 60KW 82CV FEEL EDITION,www.milanuncios.com/citroen-de-segunda-mano/citroen-c4-cactus-puretech-60kw-82cv-feel-edition-298986398.htm,10.500€,año 2017,31.569 kms,gasolina,82 cv,5 puertas,manual,navarra
SEAT - LEON 1. 6 TDI 105CV STSP STYLE,www.milanuncios.com/seat-de-segunda-mano/seat-leon-1-6-tdi-105cv-stsp-style-295139765.htm,8.900€,año 2014,129.000 kms,diesel,105 cv,5 puertas,manual,la_coruna
PEUGEOT - 208 5P STYLE 1. 4 HDI 68,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-208-5p-style-1-4-hdi-68-295035718.htm,6.900€,año 2015,99.000 kms,diesel,68 cv,5 puertas,manual,la_coruna
PEUGEOT - 5008 ALLURE 1. 6 HDI 112 FAP,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-5008-allure-1-6-hdi-112-fap-291954178.htm,7.900€,año 2012,189.000 kms,diesel,112 cv,5 puertas,manual,la_coruna
CITROEN - GRAND C4 PICASSO BLUEHDI 120CV EAT6 FEEL,www.milanuncios.com/citroen-de-segunda-mano/citroen-grand-c4-picasso-bluehdi-120cv-eat6-feel-291950107.htm,11.500€,año 2016,139.000 kms,diesel,120 cv,5 puertas,manual,la_coruna
PEUGEOT - 3008 ACTIVE 1. 6 HDI 115 FAP,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-3008-active-1-6-hdi-115-fap-295139118.htm,8.900€,año 2014,169.000 kms,diesel,115 cv,5 puertas,manual,la_coruna
RENAULT - MEGANE BUSINESS DCI 95 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-megane-business-dci-95-eco2-295034913.htm,7.900€,año 2014,150.000 kms,diesel,95 cv,5 puertas,manual,la_coruna
RENAULT - MEGANE BUSINESS DCI 110 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-megane-business-dci-110-eco2-295034005.htm,8.900€,año 2015,149.000 kms,diesel,110 cv,5 puertas,manual,la_coruna
SEAT - LEON 1. 6 TDI 105CV STSP REFERENCE,www.milanuncios.com/seat-de-segunda-mano/seat-leon-1-6-tdi-105cv-stsp-reference-294925205.htm,9.900€,año 2014,130.000 kms,diesel,105 cv,5 puertas,manual,la_coruna
RENAULT - CLIO EXPRESSION ENERGY DCI 90 SS ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-clio-expression-energy-dci-90-ss-eco2-295796686.htm,9.900€,año 2015,63.000 kms,diesel,90 cv,5 puertas,manual,asturias
BMW - SERIE 3 318D TOURING,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-318d-touring-295138024.htm,14.900€,año 2015,159.000 kms,diesel,143 cv,5 puertas,automat,la_coruna
BMW - SERIE 3 318D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-318d-295142774.htm,13.900€,año 2014,130.000 kms,diesel,143 cv,4 puertas,manual,la_coruna
FIAT - PUNTO 1. 3 EASY 75 CV MULTIJET,www.milanuncios.com/fiat-de-segunda-mano/fiat-punto-1-3-easy-75-cv-multijet-295141716.htm,6.500€,año 2014,139.000 kms,diesel,75 cv,5 puertas,manual,la_coruna
PEUGEOT - 308 NUEVO 308 SW ACTIVE 1. 6 EHDI 115,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-308-nuevo-308-sw-active-1-6-ehdi-115-295671656.htm,6.990€,año 2015,169.000 kms,diesel,115 cv,5 puertas,manual,la_coruna
RENAULT - CLIO BUSINESS DCI 75 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-clio-business-dci-75-eco2-295141264.htm,6.500€,año 2013,89.000 kms,diesel,75 cv,5 puertas,manual,la_coruna
CITROEN - C4 1. 6 EHDI 115CV SEDUCTION,www.milanuncios.com/citroen-de-segunda-mano/citroen-c4-1-6-ehdi-115cv-seduction-295023950.htm,7.900€,año 2013,139.000 kms,diesel,114 cv,5 puertas,manual,la_coruna
PEUGEOT - 508 ACTIVE 1. 6 HDI 112CV,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-508-active-1-6-hdi-112cv-298986402.htm,10.000€,año 2013,92.097 kms,diesel,112 cv,4 puertas,manual,navarra
CITROEN - BERLINGO 1. 6 HDI 90 XTR PLUS,www.milanuncios.com/citroen-de-segunda-mano/citroen-berlingo-1-6-hdi-90-xtr-plus-295668421.htm,7.900€,año 2015,129.000 kms,diesel,92 cv,5 puertas,manual,la_coruna
OPEL - INSIGNIA ST 2. 0 CDTI ECOFLEX SS 140 CV BUSINESS,www.milanuncios.com/opel-de-segunda-mano/opel-insignia-st-2-0-cdti-ecoflex-ss-140-cv-business-295131116.htm,10.500€,año 2015,140.000 kms,diesel,140 cv,5 puertas,manual,la_coruna
PEUGEOT - 2008 STYLE 1. 6 BLUEHDI 100,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-2008-style-1-6-bluehdi-100-298986389.htm,14.800€,año 2017,17.605 kms,diesel,100 cv,5 puertas,manual,navarra
RENAULT - SCENIC INTENS ENERGY DCI 81KW 110CV,www.milanuncios.com/renault-de-segunda-mano/renault-scenic-intens-energy-dci-81kw-110cv-295130511.htm,14.900€,año 2017,59.000 kms,diesel,110 cv,5 puertas,manual,la_coruna
BMW - SERIE 3 318D TOURING,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-318d-touring-295138024.htm,14.900€,año 2015,159.000 kms,diesel,143 cv,5 puertas,automat,la_coruna
BMW - SERIE 3 318D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-318d-295142774.htm,13.900€,año 2014,130.000 kms,diesel,143 cv,4 puertas,manual,la_coruna
FIAT - PUNTO 1. 3 EASY 75 CV MULTIJET,www.milanuncios.com/fiat-de-segunda-mano/fiat-punto-1-3-easy-75-cv-multijet-295141716.htm,6.500€,año 2014,139.000 kms,diesel,75 cv,5 puertas,manual,la_coruna
PEUGEOT - 308 NUEVO 308 SW ACTIVE 1. 6 EHDI 115,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-308-nuevo-308-sw-active-1-6-ehdi-115-295671656.htm,6.990€,año 2015,169.000 kms,diesel,115 cv,5 puertas,manual,la_coruna
